titre,auteur,type,genre,annee,serie,volume,dispo
Le dégoût de la Guerre de 1914,Collectif,Roman,Guerre,,,,0
Les derniers jours des dictateurs,Collectif,Roman,Guerre,,,,0
Les lendemains qui ne chantaient pas,Collectif,Roman,Guerre,,,,0
Paroles de poilus,Collectif,Roman,Guerre,,,,0
Le Théâtre comique au Moyen-Âge,Collectif,Théâtre,,,,,1
La dame en blanc,Collins Wilkie ,Roman,Fiction,,,,1
La robe noire,Collins Wilkie ,Roman,Fiction,,,,1
Le jardin méditerannéen,Colombo Adriano et Lefèvre Isabelle,Doc,Jardinage,,,,0
Etude en rouge,Conan Doyle Arthur,Roman,Polar,,,,0
Le chien des Baskerville,Conan Doyle Arthur,Roman,Polar,,,,1
Compagnons pour la vie,Condoret Ange ,Roman,,,,,1
Le poète,Connely Michael ,Roman,Polar,,,,0
Impair et père,Cooney Ray,Théâtre,,,L'avant-scène,1103,1
Le Cid,Corneille Pierre,Théâtre,,,,,1
Le Menteur,Corneille Pierre,Théâtre,,,,,1
Horace,Corneille Pierre,Théâtre,,,,,1
à la recherches des monstres lacustres,Costello Peter ,Roman,SF,,,,0
La cible,Coulter Catherine ,Roman,Fiction,,,,1
Le train de 8h47,Courteline Georges ,Roman,Guerre,,,,0
Indigo Blues,Crais Robert ,Roman,Polar,,,,0
L.A requiem,Crais Robert ,Roman,Polar,,,,0
Mon Amie Alatna,Crisler Lois ,Roman,Fiction,,,,1
Rut aux étoiles,Curval Philippe ,Roman,SF,,,,1
Presque rien sur presque tout,d'Oremesson Jean ,Essai,Philosophie,,,,0
La douane de mer,d'Ormesson Jean,Roman,Classique,,,,1
Le vent du soir,d'Ormesson Jean,Roman,,,,,1
La tempête des échos,Dabos Christelle,Roman,SF,,Le passe-miroir,4,1
La mémoire de Babel,Dabos Christelle,Roman,SF,,Le passe-miroir,3,1
Les fiancés de l'hiver,Dabos Christelle,Roman,SF,,Le passe-miroir,1,1
Les disparus du Clairedelune,Dabos Christelle,Roman,SF,,Le passe-miroir,2,1
L'année du dragon,Dalley Robert ,Roman,Polar,,,,0
Les Furtifs,Damasio Alain ,Roman,SF,,,,1
La horde du contrevent,Damasio Alain ,Roman,SF,,,,1
L'heure de vérité,Danella Utta ,Roman,Fiction,,,,1
Les petites manoeuvres,Daniel Simon ,Théâtre,,,,,1
Roulette Russe,Daridjana,Roman,Polar,,,,0
White,Darrieussecq Marie ,Roman,Fiction,,,,1
Le labyrinthe,Daschner James ,Roman,Fantastique,,,,1
The kill order,Dashner James ,Roman,Étranger,,,,0
Capharnaüm,De Baecque André,Théâtre,,,,,1
L'invitée,De Beauvoir Simone,Roman,Classique,,,,1
Phèdre,Racine Jean,Théâtre,,,,,1
Mémoires d'une jeune fille rangée,De Beauvoir Simone,Roman,Classique,,,,0
Conan l'aquilonien,De camp Lyon Sprague,Roman,SF,,Conan,,1
Conan le justicier,De camp Lyon Sprague,Roman,SF,,Conan,,1
Les vampires de Manhattan,De la Cruz Melissa,Roman,Fiction,,,,1
Bassin d'Arcachon,De Marliave Olivuer ,Doc,Tourisme,,,,0
Les filles du feu,De Nerval Gérard,Roman,Fiction,,,,1
Sylvie,De Nerval Gérard,Roman,Classique,,,,1
Vol de nuit ,De Saint-Exupéry Antoine,Roman,Classique,,,,1
